種類,学年,レッスンID,ファイル名,タイトル,対応するレッスンID
おぼえる編（対応あり）,小5,"sci.earth.earthquake_basic_oboeru","earth_earthquake_basic_oboeru.js","地震の基礎〈覚える編〉","sci.earth.earthquake_basic"
おぼえる編（対応あり）,小5,"sci.earth.earthquake_structure_oboeru","earth_earthquake_structure_oboeru.js","地震のしくみ〈覚える編〉","sci.earth.earthquake_structure"
おぼえる編（対応あり）,小5,"sci.earth.fossils_strata_oboeru","earth_fossils_strata_oboeru.js","化石と地層のようす〈覚える編〉","sci.earth.fossils_strata"
おぼえる編（対応あり）,小6,"sci.earth.front_weather_land_sea_breeze_oboeru","earth_front_weather_land_sea_breeze_oboeru.js","前線と天気, 海陸風〈覚える編〉","sci.earth.front_weather_land_sea_breeze"
おぼえる編（対応あり）,小6,"sci.earth.japan_weather_oboeru","earth_japan_weather_oboeru.js","日本の天気〈覚える編〉","sci.earth.japan_weather"
おぼえる編（対応あり）,小5,"sci.earth.land_river_erosion_oboeru","earth_land_river_erosion_oboeru.js","流水と地形の変化〈覚える編〉","sci.earth.land_river_erosion"
おぼえる編（対応あり）,小5,"sci.earth.moon_movement_oboeru","earth_moon_movement_oboeru.js","月の動き〈覚える編〉","sci.earth.moon_movement"
おぼえる編（対応あり）,小4,"sci.earth.river_work_oboeru","earth_river_work_oboeru.js","川のはたらき〈覚える編〉","sci.earth.river_work"
おぼえる編（対応あり）,小5,"sci.earth.rocks_oboeru","earth_rocks_oboeru.js","岩石〈覚える編〉","sci.earth.rocks"
おぼえる編（対応あり）,小4,"sci.earth.solar_system_oboeru","earth_solar_system_oboeru.js","太陽系〈覚える編〉","sci.earth.solar_system"
おぼえる編（対応あり）,小4,"sci.earth.stars_constellations_integrated_oboeru","earth_stars_constellations_integrated_oboeru.js","星と星座・星の動き〈覚える編〉","sci.earth.stars_constellations_integrated"
おぼえる編（対応あり）,小5,"sci.earth.strata_formation_oboeru","earth_strata_formation_oboeru.js","地層のでき方〈覚える編〉","sci.earth.strata_formation"
おぼえる編（対応あり）,小5,"sci.earth.sun_movement_oboeru","earth_sun_movement_oboeru.js","太陽の動き〈覚える編〉","sci.earth.sun_movement"
おぼえる編（対応あり）,小4,"sci.earth.sun_movement_shadow_oboeru","earth_sun_movement_shadow_oboeru.js","太陽と影（基礎）〈覚える編〉","sci.earth.sun_movement_shadow"
おぼえる編（対応あり）,小5,"sci.earth.temperature_changes_oboeru","earth_temperature_changes_oboeru.js","気温の変化〈覚える編〉","sci.earth.temperature_changes"
おぼえる編（対応あり）,小5,"sci.earth.various_landforms_oboeru","earth_various_landforms_oboeru.js","いろいろな地形〈覚える編〉","sci.earth.various_landforms"
おぼえる編（対応あり）,小5,"sci.earth.volcano_structure_land_change_integrated_oboeru","earth_volcano_structure_land_change_integrated_oboeru.js","火山のしくみ・火山と大地の変化統合版〈覚える編〉","sci.earth.volcano_structure_land_change_integrated"
おぼえる編（対応あり）,小4,"sci.earth.weather_changes_oboeru","earth_weather_changes_oboeru.js","天気の変化〈覚える編〉","sci.earth.weather_changes"
おぼえる編（対応あり）,小5,"sci.earth.weather_observation_pressure_wind_oboeru","earth_weather_observation_pressure_wind_oboeru.js","気象の観測と雲のでき方〈覚える編〉","sci.earth.weather_observation_pressure_wind"
おぼえる編（対応あり）,小5,"sci.physics.balance_oboeru","physics_balance_oboeru.js","上皿てんびん〈覚える編〉","sci.physics.balance"
おぼえる編（対応あり）,小5,"sci.physics.current_circuit_integrated_oboeru","physics_current_circuit_integrated_oboeru.js","電気の基礎と回路を流れる電流の大きさ（統合）〈覚える編〉","sci.physics.current_circuit_integrated"
おぼえる編（対応あり）,小5,"sci.physics.current_compass_oboeru","physics_current_compass_oboeru.js","流れる電流と方位磁針〈覚える編〉","sci.physics.current_compass"
おぼえる編（対応あり）,小5,"sci.physics.current_effect_heating_oboeru","physics_current_effect_heating_oboeru.js","電流の作用①（発熱）〈覚える編〉","sci.physics.current_effect_heating"
おぼえる編（対応あり）,小5,"sci.physics.current_effect_magnetic_oboeru","physics_current_effect_magnetic_oboeru.js","電流の作用②（磁界）〈覚える編〉","sci.physics.current_effect_magnetic"
おぼえる編（対応あり）,小5,"sci.physics.current_magnitude_oboeru","physics_current_magnitude_oboeru.js","電気の基礎と回路を流れる電流の大きさ（統合）〈覚える編〉","sci.physics.current_magnitude"
おぼえる編（対応あり）,小5,"sci.physics.current_voltage_circuit_oboeru","physics_current_voltage_circuit_oboeru.js","電気の基礎（乾電池・回路）〈覚える編〉","sci.physics.current_voltage_circuit"
おぼえる編（対応あり）,小4,"sci.physics.electricity_conductivity_basic_oboeru","physics_electricity_conductivity_basic_oboeru.js","電気（乾電池と豆電球）〈覚える編〉","sci.physics.electricity_conductivity_basic"
おぼえる編（対応あり）,小5,"sci.physics.force_motion_pulley_integrated_oboeru","physics_force_motion_pulley_integrated_oboeru.js","力と運動（浮力・かっ車・輪じく）統合版〈覚える編〉","sci.physics.force_motion_pulley_integrated"
おぼえる編（対応あり）,小4,"sci.physics.heat_properties_oboeru","physics_heat_properties_oboeru.js","熱の性質とものの変化〈覚える編〉","sci.physics.heat_properties"
おぼえる編（対応あり）,小5,"sci.physics.lever_weight_basic_oboeru","physics_lever_weight_basic_oboeru.js","てこのつり合い〈覚える編〉","sci.physics.lever_weight_basic"
おぼえる編（対応あり）,小5,"sci.physics.light_properties_oboeru","physics_light_properties_oboeru.js","光の性質〈覚える編〉","sci.physics.light_properties"
おぼえる編（対応あり）,小5,"sci.physics.light_reflection_refraction_oboeru","physics_light_reflection_refraction_oboeru.js","光の性質②（反射・屈折・影）〈覚える編〉","sci.physics.light_reflection_refraction"
おぼえる編（対応あり）,小5,"sci.physics.moving_weight_oboeru","physics_moving_weight_oboeru.js","ふりことおもりの運動〈覚える編〉","sci.physics.moving_weight"
おぼえる編（対応あり）,小5,"sci.physics.pendulum_moving_weight_integrated_oboeru","physics_pendulum_moving_weight_integrated_oboeru.js","ふりことおもりの運動〈覚える編〉","sci.physics.pendulum_moving_weight_integrated"
おぼえる編（対応あり）,小5,"sci.physics.pendulum_oboeru","physics_pendulum_oboeru.js","ふりことおもりの運動〈覚える編〉","sci.physics.pendulum"
おぼえる編（対応あり）,小5,"sci.physics.sound_properties_oboeru","physics_sound_properties_oboeru.js","音の性質〈覚える編〉","sci.physics.sound_properties"
おぼえる編（対応あり）,小5,"sci.physics.spring_force_buoyancy_integrated_oboeru","physics_spring_force_buoyancy_integrated_oboeru.js","ばねと力・ばねと浮力統合版〈覚える編〉","sci.physics.spring_force_buoyancy_integrated"
おぼえる編（対応あり）,小4,"sci.physics.weight_volume_basic_oboeru","physics_weight_volume_basic_oboeru.js","つり合いとてんびん〈覚える編〉","sci.physics.weight_volume_basic"
おぼえる編（対応なし）,小4,"sci.chemistry.air_properties_oboeru","chemistry_air_properties_oboeru.js","空気の性質〈覚える編〉","sci.chemistry.air_properties"
おぼえる編（対応なし）,小4,"sci.chemistry.combustion_air_oboeru","chemistry_combustion_air_oboeru.js","燃焼と空気の成分〈覚える編〉","sci.chemistry.combustion_air"
おぼえる編（対応なし）,小5,"sci.chemistry.solubility_temperature_oboeru","chemistry_solubility_temperature_oboeru.js","水溶液と溶解度〈覚える編〉","sci.chemistry.solubility_temperature"
おぼえる編（対応なし）,小4,"sci.chemistry.water_three_states_oboeru","chemistry_water_three_states_oboeru.js","水の変化・状態変化〈覚える編〉","sci.chemistry.water_three_states"
おぼえる編（対応なし）,小4,"sci.earth.constellations_seasons_oboeru","earth_constellations_seasons_oboeru.js","星と星座〈覚える編〉","sci.earth.constellations_seasons"
おぼえる編（対応なし）,小5,"sci.earth.volcano_structure_oboeru","earth_volcano_structure_oboeru.js","火山のしくみ〈覚える編〉","sci.earth.volcano_structure"
おぼえる編（対応なし）,小5,"sci.physics.force_motion_oboeru","physics_force_motion_oboeru.js","力と運動（浮力・かっ車・輪じく）〈覚える編〉","sci.physics.force_motion"
おぼえる編（対応なし）,小5,"sci.physics.spring_force_oboeru","physics_spring_force_oboeru.js","ばねと力〈覚える編〉","sci.physics.spring_force"
